"ID","PredictedProb"
0,0.484
1,0.856
2,0.65
7,0.45
10,0.772
11,0.58
13,0.912
14,0.488
15,0.914
16,0.868
17,0.748
18,0.798
19,0.82
20,0.742
25,0.966
26,0.778
29,0.748
38,0.978
41,0.946
44,0.684
45,0.42
47,0.682
48,0.7
49,0.79
50,0.856
53,0.552
56,0.528
59,0.834
60,0.626
64,0.816
65,0.946
66,0.674
68,0.92
69,0.784
70,0.922
71,0.734
72,0.642
76,0.732
80,0.75
82,0.602
83,0.928
85,0.922
86,0.774
87,0.792
89,0.866
97,0.828
99,0.676
101,0.832
102,0.176
103,0.56
104,0.662
106,0.9
107,0.558
109,0.862
111,0.474
113,0.846
114,0.578
118,0.832
119,0.76
120,0.798
123,0.708
128,0.508
129,0.706
131,0.732
133,0.678
134,0.64
136,0.948
137,0.738
139,0.82
140,0.83
142,0.836
144,0.744
146,0.9
147,0.788
148,0.914
150,0.338
151,0.324
152,0.932
155,0.964
158,0.906
159,0.636
160,0.946
161,0.702
165,0.934
166,0.45
170,0.954
171,0.776
174,0.764
175,0.69
179,0.778
180,0.924
181,0.826
184,0.738
185,0.624
187,0.832
188,0.842
190,0.832
191,0.802
192,0.666
193,0.832
196,0.888
197,0.478
198,0.6
205,0.284
211,0.764
213,0.696
214,0.902
217,0.566
218,0.88
221,0.744
222,0.69
225,0.762
229,0.65
236,0.664
237,0.95
238,0.736
239,0.968
242,0.686
245,0.926
246,0.788
247,0.874
248,0.93
254,0.898
255,0.454
257,0.95
259,0.696
264,0.894
270,0.7
272,0.86
274,0.452
275,0.574
278,0.718
280,0.332
281,0.392
282,0.466
283,0.852
284,0.93
286,0.944
287,0.93
288,0.852
289,0.89
290,0.658
291,0.79
294,0.594
295,0.388
297,0.704
299,0.666
305,0.806
307,0.59
308,0.854
313,0.668
314,0.784
315,0.838
316,0.934
317,0.862
319,0.622
322,0.854
323,0.738
324,0.778
326,0.918
327,0.774
329,0.954
330,0.234
331,0.494
336,0.44
337,0.492
338,0.802
340,0.924
345,0.368
347,0.886
348,0.858
350,0.986
352,0.756
356,0.948
357,0.924
358,0.928
359,0.864
361,0.858
363,0.422
364,0.694
368,0.832
376,0.982
378,0.834
382,0.868
384,0.562
385,0.96
388,0.18
389,0.944
391,0.58
392,0.674
395,0.812
396,0.796
397,0.848
399,0.678
404,0.906
407,0.454
409,0.926
410,0.83
413,0.758
414,0.608
416,0.758
418,0.664
419,0.794
420,0.888
422,0.97
423,0.726
427,0.762
429,0.972
430,0.604
431,0.77
432,0.674
433,0.836
434,0.332
436,0.824
437,0.928
451,0.81
452,0.744
454,0.544
457,0.902
458,0.864
460,0.558
461,0.972
462,0.818
463,0.87
465,0.924
467,0.868
473,0.844
474,0.926
480,0.24
481,0.772
483,0.914
484,0.482
485,0.526
487,0.826
490,0.978
491,0.86
492,0.696
496,0.658
497,0.644
498,0.77
499,0.854
501,0.714
502,0.776
503,0.88
506,0.924
507,0.876
508,0.6
509,0.788
510,0.868
511,0.864
513,0.782
515,0.896
521,0.54
522,0.8
523,0.898
525,0.814
529,0.808
530,0.648
531,0.688
533,0.734
534,0.676
535,0.914
537,0.648
541,0.674
542,0.858
543,0.694
544,0.886
545,0.686
549,0.846
550,0.926
551,0.898
553,0.654
556,0.766
558,0.506
560,0.61
563,0.624
564,0.92
567,0.434
572,0.7
573,0.936
577,0.828
583,0.866
584,0.898
585,0.768
586,0.852
588,0.812
590,0.712
591,0.714
593,0.952
594,0.812
597,0.74
598,0.784
599,0.898
603,0.76
604,0.696
606,0.954
607,0.644
609,0.87
614,0.878
615,0.902
616,0.58
617,0.86
618,0.9
619,0.874
620,0.76
623,0.67
625,0.928
626,0.876
627,0.934
632,0.936
633,0.536
634,0.848
635,0.762
636,0.814
637,0.816
638,0.84
639,0.802
642,0.476
643,0.874
644,0.902
645,0.444
646,0.874
650,0.938
653,0.714
654,0.618
655,0.574
656,0.902
657,0.848
658,0.716
660,0.512
661,0.876
668,0.96
669,0.714
671,0.872
672,0.848
676,0.93
678,0.762
680,0.758
682,0.644
684,0.898
685,0.814
686,0.672
687,0.556
694,0.556
696,0.556
697,0.612
699,0.57
702,0.932
707,0.856
708,0.844
712,0.896
717,0.91
718,0.974
720,0.592
721,0.808
723,0.812
724,0.704
727,0.5
728,0.268
731,0.86
733,0.742
735,0.812
737,0.878
738,0.794
740,0.584
742,0.894
743,0.69
745,0.756
746,0.88
747,0.72
748,0.988
749,0.832
750,0.918
753,0.818
755,0.856
756,0.83
758,0.612
760,0.776
762,0.856
763,0.878
765,0.862
767,0.788
768,0.974
770,0.66
772,0.81
773,0.846
774,0.75
775,0.676
777,0.466
778,0.932
780,0.376
782,0.71
783,0.946
786,0.53
787,0.918
788,0.722
789,0.704
790,0.794
793,0.708
795,0.862
807,0.73
809,0.776
810,0.404
811,0.706
813,0.46
815,0.616
816,0.706
821,0.816
823,0.98
825,0.914
826,0.902
827,0.908
832,0.876
833,0.578
834,0.7
837,0.834
838,0.954
839,0.174
843,0.472
844,0.82
845,0.632
846,0.692
848,0.644
850,0.82
851,0.89
852,0.66
855,0.714
856,0.912
861,0.82
862,0.888
863,0.92
864,0.706
865,0.902
867,0.704
868,0.876
869,0.924
873,0.75
875,0.64
877,0.904
879,0.758
880,0.946
881,0.844
882,0.68
883,0.93
887,0.688
888,0.582
890,0.936
897,0.806
900,0.842
902,0.766
904,0.828
906,0.554
910,0.85
913,0.75
914,0.496
915,0.536
918,0.856
920,0.942
923,0.82
926,0.85
927,0.71
929,0.388
930,0.738
931,0.782
932,0.98
933,0.694
934,0.766
936,0.668
939,0.68
941,0.804
943,0.652
947,0.554
948,0.726
949,0.738
950,0.644
951,0.74
952,0.664
953,0.964
956,0.812
961,0.612
962,0.724
968,0.852
971,0.89
972,0.886
977,0.982
981,0.728
985,0.814
987,0.68
989,0.958
993,0.914
994,0.542
997,0.992
998,0.51
999,0.794
1002,0.84
1003,0.972
1004,0.958
1005,0.614
1007,0.794
1008,0.858
1014,0.966
1016,0.856
1021,0.678
1023,0.952
1026,0.842
1028,0.904
1029,0.786
1030,0.732
1031,0.684
1032,0.952
1033,0.972
1036,0.688
1037,0.964
1039,0.748
1046,0.928
1047,0.906
1049,0.982
1055,0.812
1057,0.524
1059,0.726
1060,0.564
1062,0.432
1063,0.762
1066,0.842
1067,0.948
1068,0.38
1070,0.876
1071,0.826
1073,0.8
1074,0.688
1075,0.886
1076,0.722
1077,0.984
1079,0.676
1083,0.614
1085,0.956
1087,0.602
1088,0.564
1089,0.72
1092,0.726
1095,0.736
1104,0.916
1106,0.978
1108,0.612
1110,0.722
1117,0.798
1118,0.806
1119,0.88
1121,0.9
1122,0.798
1124,0.782
1125,0.696
1126,0.576
1128,0.812
1129,0.662
1131,0.368
1132,0.95
1133,0.598
1134,0.64
1137,0.878
1138,0.548
1139,0.556
1140,0.562
1141,0.872
1143,0.688
1144,0.766
1145,0.858
1146,0.9
1147,0.86
1149,0.878
1151,0.7
1154,0.762
1156,0.604
1158,0.856
1165,0.836
1166,0.538
1167,0.652
1168,0.87
1169,0.628
1171,0.686
1173,0.518
1175,0.524
1181,0.564
1182,0.648
1184,0.788
1187,0.758
1189,0.91
1190,0.668
1193,0.624
1194,0.904
1196,0.806
1202,0.666
1203,0.628
1206,0.882
1209,0.974
1211,0.598
1212,0.59
1215,0.77
1216,0.524
1220,0.852
1222,0.92
1223,0.918
1224,0.692
1227,0.948
1229,0.65
1230,0.67
1233,0.926
1236,0.656
1242,0.928
1245,0.774
1246,0.974
1249,0.708
1250,0.766
1253,0.922
1258,0.762
1259,0.656
1262,0.956
1263,0.844
1265,0.95
1266,0.922
1267,0.884
1268,0.962
1269,0.702
1270,0.816
1271,0.656
1272,0.954
1276,0.96
1277,0.828
1279,0.728
1280,0.62
1283,0.848
1285,0.786
1286,0.794
1290,0.85
1293,0.824
1295,0.436
1297,0.762
1299,0.948
1300,0.96
1301,0.804
1302,0.966
1303,0.864
1304,0.814
1305,0.69
1306,0.758
1307,0.72
1308,0.972
1309,0.742
1312,0.654
1313,0.878
1314,0.55
1316,0.754
1318,0.602
1319,0.854
1320,0.794
1322,0.948
1323,0.56
1325,0.688
1329,0.5
1330,0.814
1334,0.616
1337,0.922
1340,0.59
1341,0.664
1342,0.728
1347,0.664
1349,0.634
1350,0.73
1355,0.792
1356,0.614
1357,0.59
1358,0.684
1359,0.836
1361,0.586
1363,0.478
1366,0.806
1367,0.938
1370,0.918
1375,0.98
1377,0.922
1379,0.77
1381,0.648
1382,0.878
1385,0.748
1387,0.648
1389,0.824
1392,0.92
1393,0.642
1395,0.924
1396,0.826
1399,0.234
1400,0.188
1401,0.694
1402,0.948
1405,0.66
1407,0.62
1409,0.976
1413,0.488
1414,0.438
1415,0.73
1417,0.624
1421,0.5
1422,0.952
1423,0.516
1425,0.848
1426,0.22
1428,0.738
1429,0.946
1430,0.468
1431,0.75
1433,0.904
1435,0.934
1436,0.762
1438,0.89
1439,0.758
1442,0.958
1448,0.798
1449,0.682
1451,0.67
1453,0.874
1455,0.868
1456,0.706
1458,0.874
1459,0.928
1463,0.914
1466,0.666
1468,0.96
1471,0.626
1472,0.818
1473,0.694
1474,0.988
1476,0.682
1477,0.822
1478,0.698
1479,0.746
1481,0.36
1482,0.95
1487,0.742
1490,0.596
1493,0.604
1494,0.86
1495,0.926
1496,0.962
1497,0.636
1498,0.836
1499,0.82
1500,0.83
1505,0.766
